o,n,348,74
n,c,102,112
c,e,174,100
e, ,273,138
 ,t,201,89
t,h,133,56
h,e,83,128
e,r,163,148
r,e,223,92
e, ,254,65
 ,w,120,95
w,a,323,40
a,s,635,152
s, ,1049,65
 ,a,309,76
a, ,225,72
 ,c,197,127
c,a,331,91
a,t,194,88
t, ,236,96
 ,a,201,75
a,n,311,89
n,d,238,103
d, ,308,87
 ,a,208,101
a, ,312,77
 ,m,214,108
m,o,178,188
o,u,224,79
u,s,221,75
s,e,725,83
e,n,282,105
n, ,311,104
u,s,144,83
s,u,205,56
u,a,412,89
a,l,145,25
l,l,322,51
l,y,1224,51
 ,c,280,86
c,a,172,99
a,t,219,57
t,s,385,76
s, ,839,64
 ,e,418,101
e,a,270,87
a,t,377,104
t, ,397,88
 ,m,282,123
m,i,225,79
i,c,150,142
c,e,1372,79
 ,a,193,74
a,n,213,75
n,d,235,94
d, ,433,78
 ,m,215,71
m,i,454,71
i,c,312,123
c,e,622,97
e, ,546,124
 ,r,324,118
r,u,267,88
u,n,233,91
n, ,190,106
 ,a,409,102
a,w,135,144
w,a,290,125
a,y,191,83
y, ,509,115
 ,f,48,92
f,r,338,108
r,o,290,83
o,m,219,87
m, ,390,118
 ,c,152,119
c,a,217,118
a,t,210,77
t,s,692,68
s,n,362,88
n, ,1314,111
b,u,340,73
u,t,307,66
t, ,1199,64
 ,t,313,87
t,h,768,127
h,i,208,73
i,s,485,74
s, ,377,95
 ,c,333,104
c,a,152,109
a,t,388,85
t, ,223,80
 ,a,218,94
a,n,153,64
n,d,212,92
d, ,457,60
 ,t,210,102
t,h,124,140
h,i,285,105
i,s,262,97
s, ,295,60
 ,m,343,136
m,o,133,157
o,u,210,137
u,s,273,106
s,e,483,85
e, ,585,126
 ,l,280,117
l,i,219,57
i,k,173,80
k,e,233,94
e,d,168,106
d, ,192,109
 ,e,124,144
e,a,255,106
a,c,65,85
c,h,441,91
h, ,820,212
 ,o,154,105
o,t,229,111
t,h,223,55
h,e,242,272
e,r,542,171
r, ,887,129
 ,v,148,50
v,e,146,135
e,r,234,83
r,y,397,110
y, ,320,112
 ,m,289,104
m,u,149,57
u,c,154,86
c,h,974,65
h,n,379,130
n, ,604,100
t,h,182,82
h,e,201,60
e,y,172,77
y, ,491,122
 ,l,230,82
l,i,208,61
i,k,214,79
k,e,303,92
e,d,288,74
d, ,519,63
 ,e,141,129
e,a,276,96
a,c,214,108
c,h,360,69
h, ,417,99
 ,o,236,106
o,t,165,71
t,h,212,86
h,e,127,171
e,r,251,132
r, ,313,95
 ,s,243,119
s,o,150,77
o, ,414,108
 ,m,296,98
m,u,187,101
u,c,179,91
c,h,334,87
h, ,292,88
 ,t,135,118
t,h,202,93
h,a,159,219
a,t,217,130
t, ,786,72
 ,t,158,57
t,h,198,98
h,e,193,76
e,y,151,82
y, ,366,114
 ,l,225,94
l,i,589,49
i,v,179,107
v,e,355,75
e,d,328,83
d, ,306,93
 ,t,221,112
t,o,465,78
o,g,175,100
g,e,285,87
e,t,155,87
t,h,159,80
h,e,140,163
e,r,552,78
n,t,397,85
t,h,149,98
h,e,257,103
e, ,554,144
 ,b,480,137
b,o,262,236
o,y,619,114
y, ,458,117
 ,y,308,98
y,e,481,106
e,l,173,72
l,l,168,140
l,s,285,141
s, ,274,128
 ,a,346,129
a,t,137,96
t, ,417,125
 ,h,398,108
h,i,435,113
i,q,979,120
s, ,677,128
 ,f,292,104
f,a,286,112
a,t,262,107
t,h,271,112
h,e,169,203
e,r,426,141
r, ,373,165
 ,t,292,99
t,o,403,143
o, ,244,164
 ,w,121,152
w,a,264,122
a,k,205,123
k,e,411,96
e, ,478,121
 ,h,273,98
h,i,483,99
i,m,347,156
m, ,632,112
 ,u,376,152
u,p,787,120
p,n,403,161
n, ,591,112
b,u,373,100
u,t,171,122
t, ,148,103
 ,t,190,91
t,h,210,110
h,e,178,92
e, ,275,108
 ,f,124,134
f,a,316,104
a,t,190,103
t,h,171,111
h,e,147,190
e,r,213,96
r, ,344,114
 ,i,247,71
i,s,156,106
s, ,453,145
 ,d,251,95
d,e,155,130
e,a,504,162
a,d,1098,87
d,n,570,158
n, ,484,94
 ,t,224,99
t,h,329,113
h,e,251,90
e, ,505,102
 ,p,673,107
p,o,269,77
o,o,335,43
o,p,324,77
p, ,358,98
 ,b,274,101
b,o,175,197
o,y,461,136
y, ,243,107
 ,i,227,100
i,s,214,101
s, ,471,123
 ,v,322,126
v,e,254,159
e,y,86,95
y,r,671,77
r,y,548,99
y, ,1192,119
 ,s,138,120
s,a,217,158
a,d,511,75
d,n,387,102
n, ,435,91
 ,h,423,74
h,e,203,86
e, ,196,93
 ,r,109,140
r,e,334,122
e,l,220,88
l,i,307,102
i,z,123,190
z,e,316,145
e,d,355,116
d, ,255,99
 ,t,338,160
t,h,235,110
h,a,156,184
a,t,295,117
t, ,476,117
 ,h,718,126
h,i,428,89
i,s,339,129
s, ,666,117
 ,f,292,89
f,a,280,85
a,t,166,95
t,h,257,83
h,e,115,139
e,r,463,122
r, ,341,127
 ,i,304,122
i,s,233,110
s, ,199,141
 ,g,240,90
g,o,351,96
o,n,178,89
n,e,255,108
e, ,558,105
 ,f,71,45
f,f,203,54
f,o,177,111
o,e,1578,109
o,r,328,152
r,e,1088,125
e,v,376,112
v,e,167,188
e,r,1042,124
