o,n,469,61
n,c,340,57
c,e,445,100
e, ,2974,72
 ,t,668,61
t,h,513,61
h,e,213,51
e,r,195,54
r,e,346,61
e, ,587,61
 ,i,3517,72
w,a,342,69
a,s,367,53
s, ,1323,50
 ,a,332,51
a, ,206,55
 ,c,263,51
c,a,1614,63
a,t,638,91
t, ,456,71
 ,a,598,82
a,n,358,61
n,d,282,70
d, ,333,59
 ,a,317,62
a, ,591,62
 ,m,241,59
m,o,233,60
o,u,374,61
u,s,214,64
s,e,1371,51
e,n,2182,52
n,u,902,30
u,s,638,59
s,u,1092,59
u,l,1813,61
l,l,132,40
l,l,326,69
l,y,749,61
y, ,3968,80
 , ,1666,100
 ,c,307,61
c,a,537,60
a,t,337,60
t,s,333,50
s, ,812,59
 ,a,547,59
a,n,648,50
n,d,468,71
d, ,1213,49
e,a,538,70
a,t,281,61
t, ,1675,77
 ,m,671,134
m,i,486,70
i,c,298,60
c,e,1559,69
a,n,660,50
n,d,1221,70
d, ,3193,100
 , ,3654,119
 ,m,447,75
m,i,557,60
i,c,308,71
c,e,418,39
e, ,3785,79
 ,r,508,40
r,u,276,60
u,n,250,70
n, ,2959,75
 ,a,733,38
a,w,402,49
w,a,844,33
a,y,2664,49
y, ,406,54
 ,f,288,61
f,r,537,59
r,o,477,79
o,m,697,61
m, ,866,146
 ,c,305,69
c,a,598,60
a,t,478,70
t,s,985,60
s,n,630,71
n, ,2348,120
 ,b,385,52
b,a,3603,59
u,t,975,71
t, ,880,130
 ,t,346,60
t,h,386,40
h,i,428,60
i,s,292,49
s, ,185,70
 ,c,291,70
c,a,538,60
a,t,325,59
t,s,438,61
s, ,2434,60
 ,a,559,80
a,n,426,70
n,d,272,59
d, ,557,49
 ,t,297,51
t,h,506,49
h,i,418,51
i,s,270,50
s, ,569,51
 ,m,236,71
m,o,250,49
o,u,508,51
u,s,286,72
s,e,579,61
e, ,1398,90
 ,l,363,59
l,i,1347,53
i,k,447,69
k,e,202,39
e,d,264,52
d, ,325,71
 ,e,262,62
e,a,2578,61
a,v,985,39
c,h,286,59
h, ,422,49
 ,a,792,63
a,t,409,60
t,h,346,59
h,e,190,49
e,r,6446,50
v,e,182,50
e,r,692,73
r,y,303,70
y, ,619,59
 ,m,610,51
m,u,416,60
u,c,558,61
c,h,2123,60
h,n,406,71
n, ,690,61
h,e,1097,61
e,y,4293,61
y, ,994,130
 ,l,271,81
l,i,617,50
i,k,510,54
k,e,824,62
e,d,1317,129
d, ,934,141
 ,e,233,71
e,a,1035,70
a,c,399,69
c,h,384,69
h, ,3219,50
 ,o,487,68
o,t,415,61
t,h,751,61
h,e,215,50
e,r,343,61
r, ,388,75
 ,s,1817,60
s,o,466,130
o, ,760,80
 ,m,647,59
m,u,447,64
u,c,478,50
c,h,1475,48
h, ,731,132
 ,t,253,61
t,h,427,70
h,a,577,59
a,t,437,60
t, ,1728,70
 ,t,328,44
t,h,373,38
h,e,902,39
e,y,394,51
y, ,1745,23
 ,l,260,59
l,i,604,45
i,v,313,59
v,e,212,48
e,d,396,61
d, ,1585,31
 ,t,551,41
t,o,1110,47
o,g,3424,71
g,e,964,61
e,t,273,70
t,h,720,69
h,e,244,61
r,w,721,38
w,e,322,59
e, ,221,50
 ,c,273,50
c,a,528,59
a,n,144,59
n,n,2630,60
 ,n,496,63
n,o,429,75
o,t,356,60
t, ,1963,50
 ,h,346,69
h,e,759,61
e,l,255,50
l,p,608,61
p, ,818,41
 ,f,326,63
f,a,823,60
a,l,142,61
l,l,265,71
l,i,332,52
i,n,297,51
n,g,281,50
g, ,558,61
 ,i,337,64
i,n,235,59
n, ,659,61
 ,l,190,60
l,o,925,61
o,v,316,80
v,e,6061,49
e, ,3530,181
 ,w,1085,80
w,i,416,61
i,t,375,41
t,h,264,54
h, ,458,61
 ,c,629,60
c,u,1906,70
u,t,610,131
t,e,1075,69
e, ,934,114
 ,a,597,80
a,n,446,60
n,d,266,51
d, ,457,80
 ,f,334,61
f,a,620,50
a,n,141,50
n,n,527,81
n,y,3259,61
y, ,263,59
 ,b,517,51
b,a,517,71
a,b,529,52
b,i,457,60
i,e,212,60
e,s,3218,50
s,n,1439,101
t,h,842,59
h,e,608,81
e,i,367,72
i,t,986,50
r, ,3263,51
 ,b,388,71
b,e,251,70
e,a,602,60
a,u,293,71
u,t,783,70
t,i,624,81
i,f,2501,61
f,u,550,71
u,l,5965,59
l, ,1992,100
 ,a,577,70
a,n,346,70
n,d,242,61
d, ,863,81
 ,j,468,72
j,o,689,80
o,y,416,81
y,f,824,60
f,u,392,70
u,l,1345,50
l, ,1426,120
 ,l,487,60
l,a,828,71
a,u,425,45
u,g,520,70
g,h,4279,68
h,t,242,71
t,e,195,60
e,r,1932,60
r, ,576,60
 ,m,498,62
m,a,1028,70
a,k,2142,57
k,e,296,69
e,s,444,81
s, ,1403,83
 ,u,397,72
u,s,288,52
s, ,698,80
 ,h,388,72
h,a,729,69
a,p,140,59
p,p,367,74
