o,n,221,69
n,c,69,96
c,e,195,114
e, ,375,132
 ,t,729,124
t,h,228,77
h,e,245,103
e,r,143,135
r,e,189,84
e, ,635,93
 ,w,335,144
w,a,266,99
a,s,250,99
s, ,450,107
 ,a,178,104
a, ,282,89
 ,c,292,124
c,a,291,122
a,t,160,67
t, ,383,91
 ,a,169,116
a,n,160,88
n,d,173,98
d, ,259,90
 ,a,270,103
a, ,252,65
 ,m,194,177
m,o,127,165
o,u,197,90
u,s,220,79
s,e,454,68
e,n,1419,124
n, ,807,68
 ,u,418,48
u,s,580,58
s,u,164,79
u,a,252,80
a,l,343,95
l,y,179,80
y,y,1205,82
l,y,883,82
 ,c,405,116
c,a,211,60
a,t,355,82
t,s,212,86
s, ,582,133
 ,e,141,152
e,a,415,151
a,t,228,80
t, ,400,109
 ,m,792,144
m,i,253,85
i,c,30,67
c,e,2290,143
 ,a,257,82
a,n,133,69
n,d,254,103
d, ,505,129
 ,m,334,103
m,i,199,79
i,c,166,141
c,e,287,111
e, ,640,110
 ,t,174,111
t,u,561,104
r,u,494,86
u,n,287,96
n, ,222,126
 ,a,349,107
a,w,54,82
w,a,432,142
a,y,622,78
y, ,584,124
 ,f,75,101
f,r,165,132
r,o,418,128
o,m,282,101
m, ,593,109
 ,c,73,124
c,a,285,120
a,t,422,85
t,s,609,48
s,n,560,156
n, ,583,108
 ,b,165,107
b,i,607,86
u,t,190,57
t, ,236,123
 ,t,251,69
t,h,329,122
h,i,178,89
i,s,396,69
s, ,844,132
 ,m,265,144
m,o,135,154
o,u,665,109
u,s,239,83
s,e,165,101
e, ,186,153
 ,a,220,112
a,n,149,85
n,d,178,92
d, ,642,102
 ,t,185,108
t,h,278,133
h,i,198,101
i,s,221,111
s, ,1814,106
 ,c,252,130
c,a,349,93
a,t,417,138
t, ,2081,109
 ,l,244,111
l,i,237,88
i,k,175,106
k,e,237,84
e,d,165,116
d, ,372,120
 ,e,150,181
e,a,347,155
a,c,180,124
c,h,444,83
h, ,630,117
 ,o,246,116
o,t,175,121
