n,c,149,191
c,e,161,112
e, ,324,74
 ,t,251,79
t,h,144,85
h,e,148,101
e,r,108,85
r, ,1213,141
 ,w,157,106
w,a,196,112
a,s,159,85
s, ,919,90
 ,a,147,85
a, ,238,90
 ,c,221,90
c,a,147,106
a,t,114,90
t, ,1278,128
 ,a,330,122
a,n,204,80
n,d,126,75
d, ,878,80
 ,m,204,85
m,o,269,85
o,u,215,69
u,s,165,75
s,e,69,76
e, ,2125,63
n, ,241,111
s,u,1045,85
u,a,367,101
a,l,122,69
l,l,246,74
l,u,805,63
 ,c,382,96
c,a,228,165
a,t,178,106
t,s,148,96
s, ,1128,133
 ,e,234,79
e,a,251,95
a,t,308,112
t, ,949,133
 ,m,517,80
m,i,278,69
i,c,215,175
c,e,1403,84
 ,a,228,127
a,n,166,74
n,d,129,63
d, ,1435,79
 ,m,281,74
m,i,268,74
i,c,69,117
c,e,180,122
e, ,226,85
 ,r,305,74
r,u,250,63
u,n,184,75
n, ,951,80
 ,a,291,117
a,w,196,116
w,a,232,84
a,y,743,79
y, ,656,159
 ,f,190,90
f,r,219,69
r,o,340,74
o,m,137,74
m, ,575,574
 ,c,3,2
c,a,210,81
a,t,396,90
t,s,2438,69
s,n,451,74
n, ,213,107
y,t,190,90
t, ,902,90
 ,c,295,106
c,a,122,132
a,t,117,101
t, ,2829,117
 ,a,190,127
a,n,267,74
n,d,125,74
d, ,844,90
 ,t,186,90
t,h,339,69
h,i,230,85
i,s,113,74
s, ,1166,116
 ,m,574,85
m,o,216,91
o,u,274,79
u,s,197,95
s,e,114,58
e, ,1198,74
 ,l,189,79
l,i,194,79
i,k,193,85
k,e,174,79
e,d,211,69
d, ,612,68
 ,e,204,64
e,a,290,117
a,x,212,69
x,h,2093,74
c,h,138,79
h, ,292,79
 ,o,545,80
o,t,189,74
t,h,215,79
h,e,85,80
e,r,184,101
r, ,1246,84
 ,v,197,79
v,e,108,74
e,r,836,84
r,y,514,63
y, ,864,108
 ,m,274,74
m,a,207,106
a,t,184,79
t,c,113,64
c,h,265,79
h, ,1476,84
n, ,204,80
h,e,1327,85
e,y,125,79
y, ,400,84
 ,l,217,74
l,i,198,80
i,k,204,85
k,e,205,96
e,d,182,74
d, ,1515,69
 ,e,618,127
e,a,301,90
a,c,237,79
c,h,168,79
h, ,320,74
 ,o,408,80
o,t,169,79
t,h,195,90
h,e,75,69
e,r,119,95
r, ,782,127
 ,s,231,90
s,o,158,85
o, ,138,69
 ,m,431,79
m,u,422,74
u,c,152,73
c,h,336,74
h, ,511,106
 ,t,486,84
t,h,204,90
h,a,751,100
a,t,243,128
t, ,752,153
 ,t,987,68
t,h,321,58
h,e,269,106
e,y,205,79
y, ,751,95
 ,l,204,79
l,i,333,74
i,v,149,80
v,e,198,74
e,d,162,79
d, ,1120,84
 ,t,877,95
t,h,1068,79
o,g,1307,121
g,e,264,122
e,t,211,90
t,h,539,95
h,e,135,90
e,r,101,95
e,a,90,111
a,u,1076,80
u,t,173,95
t,i,301,79
i,f,279,73
f,u,376,69
u,l,1356,74
l, ,367,133
 ,n,255,95
n,a,550,100
a,t,544,85
t,u,237,90
u,r,187,91
r,e,390,80
e, ,1372,95
 ,a,300,175
a,n,131,63
n,d,124,79
d, ,377,112
 ,c,311,96
c,a,452,90
a,l,219,111
l,m,329,111
m, ,1445,106
 ,m,280,90
m,i,547,53
u,s,85,96
s,i,175,91
i,c,111,74
c, ,1485,106
 ,a,310,159
a,r,141,100
r,e,64,85
e, ,244,138
 ,a,1289,127
a,l,460,69
l,w,149,175
w,a,430,170
a,y,233,79
y,s,1600,74
s, ,532,127
 ,r,151,96
r,e,471,90
e,l,85,90
l,a,359,101
a,x,230,96
x,i,281,90
i,n,352,74
n,g,1127,85
g,n,137,74
n, ,448,111
 ,t,201,90
t,h,106,96
h,e,117,85
e, ,1809,111
h,e,156,79
e, ,2476,106
 ,s,267,80
s,o,268,85
o,f,162,74
f,t,111,85
t, ,3141,132
 ,s,227,69
s,o,210,90
o,u,267,85
u,n,262,85
n,f,652,106
d,s,101,85
s, ,1524,80
 ,a,117,122
a,r,152,111
r,e,140,100
e, ,961,122
 ,s,233,74
s,o,134,80
o, ,892,80
 ,p,185,85
p,l,329,90
l,e,292,75
e,a,246,100
a,s,214,63
s,a,285,84
a,n,234,80
n,t,1131,79
t, ,1053,138
 ,t,198,112
t,o,131,85
o, ,106,95
 ,l,205,96
l,i,268,74
i,s,333,90
s,t,161,68
t,e,393,85
e,n,564,84
n, ,611,127
 ,t,345,74
t,o,527,58
o,n,808,69
n, ,561,95
a,t,292,96
t,c,234,95
c,h,1499,80
h,i,545,95
i,n,280,79
n,g,178,84
g, ,744,79
 ,t,183,85
t,h,206,111
h,e,133,79
e, ,635,128
 ,s,332,47
s,u,492,74
u,p,214,74
p,e,183,90
e,r,352,85
r,b,196,74
b, ,758,132
 ,n,182,80
n,a,463,106
a,u,251,85
u,t,1519,79
t,u,220,95
u,r,171,69
r,e,152,100
e, ,1493,117
 ,c,294,96
c,a,376,106
a,l,173,74
l,m,171,85
m,s,342,80
s, ,995,90
 ,o,188,80
o,u,294,90
u,r,108,79
r, ,672,116
 ,b,431,63
b,o,390,63
o,d,372,90
d,y,163,96
y, ,629,96
 ,a,299,122
a,n,223,79
n,d,99,69
d, ,203,80
 ,s,313,69
s,o,219,84
o,u,372,90
u,l,2489,106
