n,c,216,120
c,e,109,155
e, ,491,121
 ,t,167,109
t,h,121,93
h,e,186,74
e,r,171,101
r,e,141,112
e, ,187,104
 ,w,241,121
w,a,224,111
a,s,132,112
s, ,131,91
 ,a,114,110
a, ,173,91
 ,c,477,100
c,a,334,81
c,a,86,82
a,t,171,55
t, ,153,102
 ,a,160,99
a,n,165,41
n,d,80,100
d, ,292,81
 ,a,164,101
a, ,394,81
 ,m,196,95
m,o,372,59
o,s,53,74
s,u,294,62
u,s,187,71
s,e,778,69
e,n,236,101
n, ,93,100
u,s,124,121
s,u,178,46
u,a,129,99
a,l,461,66
l,l,234,68
l,u,672,60
 ,c,242,101
c,a,114,111
a,t,361,81
t,s,116,113
s, ,173,80
 ,e,231,90
e,a,155,101
a,t,130,79
t, ,202,111
 ,m,205,101
m,i,151,91
i,c,199,69
c,e,144,103
 ,a,132,115
a,n,224,73
n, ,19,80
 ,d,408,102
d, ,320,98
 ,m,215,110
m,i,111,81
i,c,232,90
c,e,80,112
e, ,489,91
 ,r,255,104
r,u,172,70
u,n,70,74
n, ,142,103
 ,a,183,73
a,w,236,111
w,a,91,70
a,y,151,91
y, ,985,121
 ,f,203,98
f,r,164,103
r,o,151,91
o,m,131,111
m, ,235,111
 ,c,242,100
c,a,104,100
a,t,141,80
t,s,639,111
s,n,221,70
n, ,105,113
u,t,98,101
t, ,826,82
 ,t,152,70
t,h,141,80
h,i,80,110
i,s,82,79
s, ,124,82
 ,c,201,70
c,a,141,90
a,t,135,94
t, ,322,131
 ,a,137,134
a,n,129,57
n,d,71,102
d, ,377,78
 ,t,129,39
t,h,163,123
h,s,2,89
s,i,142,118
i, ,243,122
 ,l,346,100
i,s,61,99
s, ,186,89
 ,m,161,100
m,o,151,68
o,u,69,73
u,s,206,115
s,e,59,78
e, ,253,91
 ,l,167,74
l,i,138,78
i,k,101,105
k,e,164,71
e,d,61,101
d, ,193,112
 ,e,294,100
e,a,362,52
a,c,109,105
c,h,107,68
h, ,143,82
 ,o,224,101
o,t,140,82
t,h,83,103
h,e,170,93
e,r,61,113
r, ,690,93
 ,v,94,63
v,e,181,90
e,r,20,82
r,y,134,93
y, ,221,80
 ,m,225,101
m,u,152,80
u,c,131,69
c,h,995,80
h,n,286,110
n, ,133,100
h,e,104,100
e,y,108,77
y, ,172,82
 ,l,173,92
l,i,131,91
i,k,94,113
k,e,529,90
e,s,161,68
s, ,251,89
d, ,892,106
 ,e,191,79
e,a,202,78
a,c,85,82
c,h,98,68
h, ,150,79
 ,o,248,91
o,t,131,59
t,h,57,88
h,e,163,71
e,r,116,85
r, ,842,90
 ,s,90,111
s,o,174,90
o, ,981,120
 ,m,174,62
m,u,140,68
u,c,156,104
c,h,120,90
h, ,803,121
 ,t,132,81
t,h,131,100
h,a,100,90
a,t,90,49
t, ,1130,134
 ,t,150,60
t,h,70,73
h,e,102,60
e,y,94,60
y, ,183,91
 ,l,161,90
l,i,172,70
i,v,104,107
v,e,151,100
e,d,114,110
d, ,213,100
 ,t,84,80
t,o,238,86
o,g,59,63
g,e,307,85
e,t,151,70
t,h,62,105
h,e,195,104
e,r,161,90
 ,w,221,90
w,e,124,94
e, ,122,101
 ,c,219,79
c,a,120,117
a,n,109,88
n, ,154,151
 ,n,191,107
n,o,141,91
o,t,111,115
t, ,110,69
 ,h,205,91
h,e,94,91
e,l,158,78
l,p,607,91
p, ,612,107
 ,f,244,71
f,a,104,101
a,l,117,57
l,l,144,63
l,i,144,51
i,n,99,102
n,g,71,74
g, ,103,60
 ,i,172,82
i,n,70,73
n, ,132,60
 ,l,155,91
l,o,221,81
o,v,172,40
v,e,155,85
e, ,2291,81
 ,w,137,135
w,i,179,68
i,t,50,111
t,h,172,132
h, ,407,125
 ,c,124,120
c,u,181,90
u,t,202,92
t,e,171,101
e, ,155,94
 ,a,103,100
a,n,169,68
n,d,107,104
d, ,545,78
 ,f,131,111
f,u,221,90
u,n,114,60
n,n,121,52
n,i,407,122
y, ,165,94
 ,b,181,70
b,a,113,110
a,b,202,68
b,o,60,29
o,e,447,81
i,e,194,90
e,s,211,71
i,e,207,104
e,s,963,79
s,n,332,112
n, ,489,115
h,e,128,125
e,i,108,112
i,r,110,90
r, ,619,91
 ,b,234,103
b,e,282,89
e,a,207,126
a,u,272,80
u,t,224,90
t,h,323,71
i,f,124,121
