o,n,978,134
n,c,137,112
c,e,238,89
e, ,273,176
 ,t,72,127
t,h,74,126
h,e,131,104
e,r,108,112
r,e,111,86
e, ,210,152
 ,w,140,151
w,a,397,133
a,s,259,112
s, ,216,140
 ,a,315,167
a, ,220,140
 ,c,86,129
c,a,258,108
a,t,202,182
t, ,133,162
 ,a,113,117
a,n,112,136
n,d,341,107
d, ,751,135
 ,a,140,80
a, ,142,106
 ,m,106,197
m,o,61,158
o,u,239,156
u,s,97,120
s,e,916,97
u,s,122,170
s,a,569,150
u,a,117,113
a,l,153,101
l,l,118,142
l,y,165,119
y, ,337,92
 ,c,107,143
c,a,260,112
a,t,129,202
t,s,150,137
s, ,205,124
 ,e,92,95
e,a,299,155
a,t,177,128
t, ,431,179
 ,m,75,159
m,i,1205,150
i,c,82,109
c,e,478,98
 ,a,106,125
a,n,109,130
n,d,99,132
d, ,253,122
 ,m,81,156
m,i,193,133
i,c,99,126
c,e,158,103
e, ,509,165
 ,r,160,122
r,u,56,110
u,n,607,154
n, ,248,158
 ,a,340,84
a,w,94,165
w,a,682,156
a,y,122,112
y, ,272,133
 ,f,183,101
f,r,60,104
r,o,76,122
o,m,134,133
m, ,637,146
 ,c,183,150
c,a,299,125
a,t,82,156
t,s,307,120
b,u,168,94
u,t,163,136
t, ,143,103
 ,t,109,139
t,h,55,116
h,i,134,131
i,s,145,119
s, ,257,127
 ,c,121,146
c,a,352,136
a,t,178,163
t, ,250,131
 ,a,140,128
a,n,96,118
n,d,401,131
d, ,179,105
 ,t,95,131
t,h,85,132
h,i,816,107
i,s,128,107
s, ,1156,132
 ,m,108,197
m,o,121,201
o,u,267,145
u,s,108,125
s,e,127,129
e, ,229,132
 ,l,82,130
l,i,170,118
i,k,78,128
k,e,285,93
e,d,172,146
d, ,341,154
 ,e,150,117
e,a,275,140
a,c,124,131
c,h,123,103
h, ,332,150
 ,o,195,137
o,s,68,46
s,h,129,174
h,e,648,57
t,h,63,122
h,e,271,106
e,r,171,119
r, ,646,169
 ,v,86,126
v,e,156,125
e,r,126,129
r,y,114,106
y, ,296,125
 ,m,38,109
m,u,254,154
u,c,128,125
c,h,455,101
t,h,72,127
h,e,152,222
e,y,166,119
y, ,345,152
 ,l,56,110
l,i,229,124
i,k,48,116
k,e,376,139
e,d,113,127
d, ,221,147
 ,e,168,113
e,a,342,161
a,c,89,114
c,h,203,113
h, ,297,153
 ,o,144,120
o,t,102,137
t,h,60,113
h,e,121,102
e,r,160,122
r, ,188,129
 ,s,81,114
s,o,152,153
o, ,142,109
 ,m,51,134
m,u,203,146
u,c,138,120
c,h,300,103
h, ,483,170
 ,t,111,153
t,h,121,110
h,a,19,93
a,t,251,182
t, ,223,119
 ,t,57,131
t,h,56,128
h,e,465,140
e,y,157,116
y, ,823,135
 ,l,55,118
l,i,283,157
i,v,90,116
v,e,163,109
e,d,145,141
d, ,702,131
 ,t,106,148
t,o,266,125
o,g,81,111
g,e,290,124
e,t,343,80
t,h,45,97
h,e,89,119
