o,n,273,97
n,c,134,113
c,e,407,103
e, ,336,133
 ,t,1041,108
t,h,264,72
h,e,425,74
e,r,193,167
r,e,260,113
e, ,516,82
 ,w,147,119
w,a,371,124
a,s,190,84
s, ,260,96
 ,a,150,83
a, ,479,121
 ,c,365,102
c,a,263,87
a,t,244,110
t, ,345,132
 ,a,147,86
a,n,142,88
n,d,187,90
d, ,410,86
 ,a,342,81
a, ,588,115
 ,m,413,130
m,o,238,111
o,u,182,124
u,s,287,112
s,e,686,85
e,n,1181,141
n, ,175,94
u,s,227,73
s,u,563,65
u,a,187,81
a,l,806,80
l,y,182,79
y,y,814,71
l,y,843,59
 ,c,97,107
c,a,226,126
a,t,227,51
t,s,297,92
s, ,410,60
 ,e,148,158
e,a,312,124
a,t,176,76
t, ,373,98
 ,m,287,94
m,i,168,54
i,c,195,150
c,e,688,126
e, ,217,105
 ,a,251,94
a,n,206,106
n,d,181,102
d, ,367,73
 ,m,479,95
m,i,179,77
i,c,314,93
c,e,243,83
e, ,258,106
 ,r,169,105
r,u,285,101
u,n,274,78
n, ,246,100
 ,a,324,48
a,w,68,120
w,a,379,126
a,y,608,62
y, ,852,166
 ,f,131,122
f,r,250,91
r,o,267,110
o,m,515,103
m, ,493,122
 ,c,212,144
c,a,243,110
a,t,181,46
t,s,681,52
s,n,635,56
n, ,249,100
b,i,174,97
i,t,659,75
u,t,168,87
t, ,384,119
 ,t,237,32
t,h,224,85
h,i,188,75
i,s,183,81
s, ,1084,128
 ,c,157,149
c,a,317,125
a,t,299,55
t, ,214,72
 ,a,200,136
a,n,186,85
n,d,262,77
d, ,141,105
 ,t,231,90
t,h,262,131
h,i,159,68
i,s,184,80
s, ,266,65
 ,m,255,112
m,o,118,163
o,u,198,120
u,s,498,113
s,e,285,87
e, ,487,92
 ,l,221,70
l,i,235,59
i,k,222,74
k,e,325,132
e,d,153,93
d, ,257,126
 ,e,148,245
e,a,455,185
a,c,209,108
c,h,218,98
h, ,288,88
 ,o,159,96
o,t,224,88
t,h,240,70
h,e,203,237
e,r,568,163
r, ,1367,134
 ,v,164,59
v,e,143,219
e,r,213,139
r,y,247,62
y, ,431,99
 ,m,366,128
m,u,135,71
u,c,194,101
c,h,701,53
h,n,578,109
n, ,192,123
t,h,147,61
h,e,153,71
e,y,154,42
y, ,375,114
 ,l,212,58
l,i,192,50
i,k,119,65
k,e,244,76
e,d,130,93
d, ,255,123
 ,e,156,147
e,a,253,142
a,c,168,93
c,h,265,68
h, ,417,105
 ,o,200,93
o,t,142,68
t,h,175,67
h,e,119,160
e,r,140,108
r, ,841,62
 ,s,237,67
s,o,256,100
o, ,238,128
 ,m,305,117
m,u,153,53
u,c,132,99
c,h,455,49
h, ,160,92
 ,t,161,80
t,h,166,75
h,a,159,150
a,t,157,57
t, ,228,140
 ,t,113,87
t,h,308,85
h,e,185,103
e,y,276,78
y, ,553,54
 ,l,277,109
l,i,549,118
i,v,119,142
v,e,267,101
e,d,161,110
d, ,208,135
 ,t,131,62
t,o,242,110
o,g,222,43
g,e,191,202
e,t,162,125
t,h,155,95
h,e,101,151
e,r,549,89
n,t,718,102
t,h,199,123
h,e,176,101
e, ,365,148
 ,b,304,84
b,p,1051,258
o,y,183,86
y, ,435,157
 ,y,263,76
y,e,931,97
e,l,149,52
l,l,440,129
l,s,387,111
s, ,255,142
 ,a,456,152
a,t,210,95
t, ,458,132
 ,h,324,114
h,i,405,122
i,s,256,80
s, ,398,144
 ,f,126,116
f,a,541,118
a,t,142,73
t,h,237,109
h,e,170,218
e,r,347,138
r, ,471,147
 ,t,384,102
t,o,246,149
o, ,205,130
 ,w,226,167
w,a,272,94
a,k,203,128
k,e,221,74
e, ,871,108
 ,h,251,152
h,u,1136,117
i,m,445,79
m, ,661,110
 ,u,553,49
u,p,1592,134
p, ,621,154
 ,b,159,107
b,u,231,81
u,t,292,107
t, ,178,78
 ,t,241,75
t,h,427,76
h,e,291,84
e, ,232,121
 ,f,101,119
f,a,436,117
a,t,234,52
t,h,190,77
h,e,268,213
e,r,270,102
r, ,331,104
 ,i,354,88
i,s,260,93
s, ,220,136
 ,d,321,74
d,e,195,176
e,a,433,126
a,d,1224,119
d,n,427,123
n, ,472,145
 ,t,393,69
t,h,624,97
h,e,480,102
e, ,369,83
 ,p,652,83
p,o,121,84
o,o,407,132
o,r,533,108
r, ,466,126
 ,b,221,56
b,o,400,110
o,y,373,49
y, ,444,118
 ,i,222,105
i,s,271,141
s, ,632,87
 ,v,164,87
v,e,263,159
e,r,181,81
r,y,477,84
y, ,344,145
 ,s,172,164
s,a,603,131
a,d,686,106
d,n,413,153
n, ,359,124
 ,h,373,73
h,e,201,92
e, ,310,140
 ,r,213,179
r,e,306,157
e,a,190,137
a,l,388,110
l,i,180,87
i,z,181,204
z,e,542,142
e,d,536,107
d, ,157,93
 ,t,196,102
t,h,194,86
h,a,225,165
a,t,262,106
t, ,613,147
 ,h,439,93
h,i,210,66
i,s,556,103
s, ,382,124
 ,f,270,185
f,a,241,91
a,t,219,68
t,h,412,119
h,e,387,206
e,r,303,108
r, ,450,153
 ,i,247,125
i,s,248,135
s, ,488,114
 ,g,262,70
g,o,539,54
o,n,221,55
n,e,302,83
e, ,364,127
 ,f,675,105
f,o,180,93
o,e,344,109
e,v,255,51
v,e,202,183
e,r,915,117
