o,n,506,68
n,c,312,57
c,e,180,89
e, ,3648,89
 ,t,239,79
t,h,262,94
h,e,255,94
e,r,304,68
r,e,270,88
e, ,2431,97
 ,w,2327,126
w,a,263,99
a,s,338,84
s, ,521,298
 ,a,174,78
a,a,969,57
 ,c,387,62
c,a,217,134
a,t,315,87
t, ,737,157
 ,a,233,136
a,n,271,94
n,d,204,68
d, ,1189,99
 ,a,234,147
a, ,281,84
 ,m,223,100
m,o,221,94
o,u,396,87
u,s,279,104
s,e,227,74
e, ,2310,93
 ,u,427,94
u,s,1450,100
s,u,224,115
u,a,242,100
a,l,141,77
l,l,282,105
l,y,708,100
y, ,1043,94
 ,c,212,89
c,a,174,89
a,t,470,105
t, ,1165,108
 ,e,1072,85
e,a,241,104
a,t,306,100
t, ,322,94
 ,m,260,116
m,i,292,89
i,c,340,62
c,e,199,78
e, ,1734,134
 ,a,167,83
a,n,343,94
n,d,210,83
d, ,2356,95
 ,m,261,100
m,i,603,93
i,c,326,93
c,e,240,69
e, ,1171,100
 ,r,202,90
r,u,285,89
u,n,344,88
n, ,756,89
 ,a,370,109
a,w,358,41
w,a,381,89
a,y,2199,88
y, ,1360,100
 ,f,195,94
f,r,493,99
r,o,225,92
o,m,320,104
m, ,1574,95
 ,c,232,84
c,a,174,111
a,t,256,94
t,s,271,84
s, ,1053,105
 ,b,370,89
b,u,476,104
u,t,259,52
t, ,1296,108
 ,c,431,99
c,a,352,106
a,t,396,100
t, ,654,114
 ,a,278,127
a,n,574,99
n,d,239,78
d, ,1213,99
 ,t,246,89
t,h,413,100
h,i,521,93
i,s,180,83
s, ,319,200
 ,m,1010,99
m,o,244,98
o,u,246,110
u,s,269,94
s, ,2340,127
 ,l,259,88
l,i,214,99
i,k,239,110
k,e,400,104
e,d,229,72
d, ,1074,98
 ,e,473,110
e,a,442,95
a,c,223,114
c,h,612,83
h, ,747,100
 ,o,391,106
o,t,226,83
t,h,222,105
h,e,264,94
e,r,7750,89
r, ,2893,130
 ,v,285,94
v,e,246,110
e,r,378,99
r,y,438,94
y, ,685,105
 ,m,583,111
m,u,240,94
u,c,202,89
c,h,358,94
h, ,1303,95
 ,t,225,89
t,h,284,104
h,e,171,68
e,y,453,88
y, ,917,156
 ,l,267,99
l,i,216,84
i,k,282,99
k,e,570,95
e,d,222,88
d, ,887,104
 ,e,630,94
e,a,496,93
a,c,222,94
c,h,268,83
h, ,1305,104
 ,o,467,94
o,t,218,78
t,h,212,109
h,e,259,88
e,r,230,79
r, ,799,104
 ,s,198,89
s,o,316,100
o, ,1054,100
 ,m,475,83
m,u,359,94
u,c,203,89
c,h,359,90
h, ,820,93
 ,t,230,89
t,h,254,109
h,a,184,88
a,t,376,99
t, ,1082,99
 ,t,229,89
t,h,229,116
h,e,360,78
e,y,396,94
y, ,1058,99
 ,l,251,100
l,i,553,94
i,v,307,99
v,e,479,83
e,d,209,68
d, ,991,104
 ,t,424,88
t,o,595,110
o,g,778,95
g,e,230,79
e,t,234,89
t,h,170,104
h,e,268,94
r,w,365,88
w,e,475,105
e, ,1278,109
 ,c,483,94
c,a,453,99
a,n,367,93
n, ,1249,115
 ,h,333,89
h,e,477,98
e,l,295,105
l,p,380,95
p, ,15454,94
n,o,315,108
o,t,305,105
t, ,1148,115
 ,h,346,104
h,e,483,99
e,l,262,105
l,p,351,104
p, ,9061,100
 ,f,375,89
f,a,502,94
a,l,183,88
l,l,218,105
l,i,272,109
i,n,233,100
n,g,346,99
g, ,2096,105
 ,i,302,100
i,n,208,89
n, ,290,108
 ,l,223,99
l,o,362,89
o,v,287,99
v,e,401,109
e, ,2021,105
 ,w,484,84
w,i,375,110
i,t,275,88
t,h,287,105
h, ,286,89
 ,c,400,100
c,u,329,126
u,t,335,94
t,i,1520,115
e, ,1067,109
 ,a,396,83
a,n,288,110
n,d,281,95
d, ,221,100
 ,f,293,100
f,u,289,126
u,n,145,95
n,n,296,95
n,y,306,109
y, ,308,116
 ,b,353,79
b,a,392,109
a,b,489,88
b,y,384,105
y, ,1037,110
i,e,250,106
e,s,887,100
s, ,237,94
 ,t,258,84
t,h,891,99
h,e,894,95
e,i,374,99
i,r,393,99
r, ,702,99
 ,b,377,89
b,e,278,104
e,a,347,88
a,t,307,95
t,i,347,88
i,f,454,89
f,u,342,100
u,l,284,105
l, ,2231,99
 ,a,424,94
a,n,318,104
n,d,309,94
d, ,3403,104
 ,j,315,111
j,o,355,105
o,y,2273,100
y,f,578,89
f,u,1041,109
u,l,289,93
l, ,281,99
 ,l,468,104
l,a,446,99
a,u,2301,120
u,g,270,88
g,h,2212,105
h,t,330,88
t,e,213,94
e,r,428,105
r, ,667,99
 ,m,475,94
m,a,542,105
a,k,395,178
k,e,1171,122
e, ,939,194
s, ,313,110
 ,u,511,120
u,s,265,100
s, ,224,100
 ,h,325,126
h,a,522,110
a,p,158,88
p,p,394,115
p,y,1394,109
y, ,741,109
 ,n,327,115
