o,n,246,94
n,c,274,104
c,e,206,167
e, ,723,138
 ,t,215,88
t,h,98,104
h,e,238,151
e,r,243,145
r,e,227,133
e, ,449,144
 ,w,353,175
w,a,414,229
a, ,1424,176
s, ,1109,133
 ,a,233,160
a, ,855,123
 ,c,182,84
c,a,226,133
a,t,1254,101
t, ,416,156
 ,a,481,234
a,n,229,123
n,d,122,116
d, ,344,94
 ,a,212,175
a, ,376,80
 ,m,203,94
m,o,216,81
o,u,194,68
u,s,239,121
s,e,1491,137
u,s,1023,241
s,u,932,97
u,l,1267,72
a,l,127,61
l,l,472,86
l,y,1046,90
 ,c,225,94
c,a,142,157
a,t,148,91
t,s,280,117
s, ,895,136
 ,e,178,210
e,a,501,205
a,t,527,111
t, ,1214,106
 ,m,264,91
m,i,422,77
i,c,163,85
c,e,1040,143
 ,a,288,182
a,n,354,84
n,d,234,132
d, ,1101,68
 ,m,243,104
m,i,318,83
i,c,161,112
c,e,160,132
e, ,1038,104
 ,r,446,100
r,u,276,85
u,n,215,77
n, ,919,72
 ,a,295,131
a,w,349,133
w,a,226,181
a,y,188,143
y, ,2616,125
 ,f,253,122
f,r,92,134
r,o,219,90
o,m,277,84
m, ,746,105
 ,c,134,88
c,a,169,162
a,t,140,87
t,s,629,137
b,u,226,260
u,t,157,146
t, ,1258,117
 ,t,200,97
t,h,219,91
h,i,578,90
i,s,1694,151
s, ,525,144
 ,c,152,101
c,a,198,142
a,t,210,100
t, ,846,100
 ,a,222,163
a,n,337,93
n,d,359,97
d, ,692,95
 ,t,220,92
t,h,214,90
h,i,226,97
i,s,117,159
s, ,774,106
 ,m,206,91
m,o,186,78
o,u,246,72
u,s,236,136
s,e,904,120
e, ,477,117
 ,l,175,86
l,i,172,78
i,k,143,93
k,e,225,120
e,d,801,138
d, ,441,111
 ,e,261,116
e,a,346,156
a,c,239,133
c,h,855,103
h, ,694,115
 ,o,281,105
o,t,187,89
t,h,80,89
h,e,208,121
e,r,114,129
r, ,2228,95
 ,v,165,88
v,e,173,117
e,r,398,154
r,y,101,120
y, ,571,164
 ,m,333,95
m,u,277,80
u,c,141,106
c,h,1322,85
 ,t,241,86
t,h,708,92
t,h,206,85
h,e,213,132
e,y,539,96
y, ,774,105
 ,l,198,86
l,i,452,76
i,k,135,87
k,e,235,134
e,d,178,108
d, ,1562,99
 ,e,146,187
e,a,376,165
a,c,187,112
c,h,680,88
h, ,544,88
 ,o,274,83
o,t,166,78
t,h,134,84
h,e,190,116
e,r,100,102
r, ,905,97
 ,s,141,124
s,o,157,100
o, ,694,118
 ,m,306,88
m,u,393,97
u,c,137,92
c,h,291,115
h, ,3045,100
 ,t,197,78
t,h,217,95
h,a,438,133
a,t,197,116
t, ,1081,105
 ,t,247,96
t,h,602,99
h,e,119,145
e,y,278,112
y, ,1089,97
 ,l,220,95
l,i,341,73
i,v,199,94
v,e,204,117
e,d,806,165
d, ,438,127
 ,t,596,98
t,o,2475,95
o,g,1164,131
g,e,141,142
e,t,202,87
t,h,133,101
h,e,151,118
b,e,146,187
e,a,862,156
a,u,375,88
u,t,187,123
t,i,444,90
i,f,123,126
f,u,283,78
u,l,219,104
l, ,1027,103
 ,n,214,125
n,a,202,176
a,t,269,85
t,u,307,91
u,r,206,96
r,e,317,80
e, ,456,92
 ,a,344,191
a,n,231,95
n,d,175,135
d, ,506,96
 ,c,174,91
c,a,237,141
a,l,222,85
l,m,673,87
m, ,662,92
 ,m,332,96
m,u,355,86
u,s,117,128
s,i,417,78
i,c,256,92
c, ,876,90
 ,a,186,196
a,r,207,111
r,e,148,159
e, ,247,129
 ,a,494,202
a,l,301,106
l,w,334,132
w,a,164,154
a,y,344,91
y,s,179,120
s, ,889,87
 ,r,169,110
r,e,264,153
e,l,101,104
l,a,568,141
a,x,153,136
x,i,261,95
i,n,255,84
n,g,815,84
h,e,148,121
e, ,738,72
 ,s,198,144
s,o,407,85
o,f,157,122
f,t,1061,99
t, ,682,114
 ,s,147,130
s,o,95,164
o,u,321,105
u,n,318,101
n,d,191,79
d,s,589,128
s, ,476,90
 ,a,294,192
a,r,150,95
r,e,202,114
e, ,157,78
 ,s,164,131
s,o,664,97
o, ,437,73
 ,p,214,94
p,l,246,79
l,e,76,137
e,a,398,185
a,s,1440,164
s,a,130,134
a,n,251,90
n,t,755,78
t, ,584,95
 ,t,118,132
t,o,226,101
o, ,672,115
 ,l,223,95
l,i,232,83
i,s,186,157
s,t,188,88
t,e,245,143
e,n,263,95
n, ,1375,86
 ,t,159,121
t,o,322,85
w,a,222,150
a,t,277,85
t,c,164,99
c,h,223,85
h,i,214,86
i,n,344,85
n,g,692,143
g, ,517,94
 ,t,243,101
t,h,115,90
h,e,207,153
e, ,1369,83
 ,s,103,127
s,u,342,88
u,p,316,94
p,e,145,128
e,r,598,97
r,b,650,82
b, ,644,98
 ,n,186,107
n,a,161,164
a,t,298,83
t,u,270,81
u,r,183,83
r,e,659,138
e, ,512,101
 ,c,296,136
c,a,191,157
a,l,212,76
l,m,265,101
m,s,248,158
s, ,2154,96
 ,o,112,179
o,u,362,115
u,r,583,111
r, ,564,89
 ,b,164,110
b,o,585,101
o,d,141,107
d,y,538,89
y, ,488,90
 ,a,171,182
a,n,282,110
n,d,127,109
d, ,724,86
 ,s,128,132
s,o,91,159
o,u,330,116
u,l,512,84
