g,o,118,42
o,o,136,73
o,d,431,107
d, ,385,66
 ,m,226,96
m,o,165,74
o,r,193,84
r,n,112,105
n,i,311,51
i,n,193,96
n,g,706,75
i, ,1686,95
 ,w,139,85
w,o,253,146
o,k,170,59
k,e,197,80
e, ,513,109
 ,u,533,61
u,p,809,97
p, ,405,101
 ,a,425,113
a,t,464,93
t, ,1328,129
 ,i,438,65
 ,i,211,107
i,n,174,70
n, ,236,62
 ,t,162,84
t,h,132,61
h,e,151,78
e, ,285,64
 ,m,212,79
m,o,147,57
o,r,206,75
r,n,64,100
n,i,182,138
i,n,144,64
n,g,220,75
g, ,2907,85
 ,n,260,109
n, ,508,109
i, ,257,132
 ,h,139,64
h,a,158,199
a,d,239,134
d, ,524,99
 ,m,363,85
m,y,207,57
y, ,463,77
 ,b,331,50
b,r,231,73
r,e,93,127
e,a,336,129
a,k,325,64
k,a,11,177
a,d,499,29
f,a,528,115
a,s,226,95
s,t,561,89
h,e,456,77
e,l,155,60
l,l,798,62
t,h,28,106
h,i,255,157
i,s,399,97
s, ,694,88
 ,v,241,90
v,i,213,94
i,d,69,125
d,e,263,129
e,o,323,86
o, ,561,111
 ,m,163,74
m,a,505,108
a,d,153,108
d,e,265,107
e, ,435,124
 ,m,137,78
m,e,494,87
e, ,219,136
 ,c,109,23
c,c,605,73
r,y,534,53
y,n,585,113
n, ,206,102
i, ,390,151
 ,f,446,143
f,f,436,81
e,e,182,81
e,l,413,103
l, ,400,83
 ,s,215,70
s,o,256,115
o, ,614,113
 ,s,302,78
s,a,165,149
a,d,189,122
d, ,460,155
 ,f,146,33
f,o,175,45
o,r,168,92
r, ,170,140
 ,t,189,60
t,h,192,83
h,e,274,105
e, ,616,132
 ,b,325,89
b,o,314,56
o,y,593,67
y, ,767,88
 ,w,237,78
w,h,328,120
h,o,284,123
o, ,263,142
 ,l,178,85
l,o,239,42
o,s,369,49
s,t,170,67
t, ,293,126
 ,h,181,121
h,i,237,105
i,s,242,115
s, ,684,81
 ,b,197,67
b,e,229,92
e,l,270,47
l,o,493,93
o,v,238,23
v,e,279,142
e,d,291,96
d, ,618,85
 ,f,199,192
f,a,324,111
a,t,146,73
t,h,149,127
h,e,129,188
e,r,791,106
r,n,817,127
n, ,253,123
h,o,195,64
o,w,189,84
w, ,493,121
 ,s,98,127
s,a,296,102
a,d,194,77
d, ,383,142
 ,i,157,87
i,s,204,123
s, ,224,143
 ,t,163,87
t,h,98,82
h,a,175,187
a,t,1745,114
