h,u,144,72
u,m,585,135
m,p,175,102
p,t,112,151
t,y,104,119
y, ,513,119
 ,d,311,199
d,m,569,104
u,m,520,89
m,p,136,103
p,t,120,150
t,y,120,143
y, ,232,95
 ,s,135,207
s,a,96,143
a,t,185,160
t, ,480,104
 ,o,168,87
o,n,94,134
n, ,153,104
 ,a,185,208
a, ,158,135
 ,w,937,113
w,a,369,167
a,l,136,87
l,l,263,86
h,u,158,104
u,m,242,104
m,p,182,158
p,t,105,161
t,y,129,144
y, ,201,135
 ,d,183,198
d,u,239,112
u,m,195,88
m,p,174,101
p,t,88,144
t,y,120,135
y, ,856,144
 ,h,120,88
h,a,504,160
a,d,151,191
d, ,231,152
 ,a,138,186
a, ,200,136
 ,g,672,126
g,r,96,175
r,e,166,143
e,a,114,160
a,t,208,159
t, ,544,167
 ,f,144,167
f,a,200,183
a,l,128,71
l,l,246,86
a,l,120,80
l,l,271,128
l, ,185,159
 ,t,152,129
t,h,62,78
h,e,243,161
e, ,327,149
 ,k,177,87
k,i,184,86
i,n,287,119
n,g,208,135
g,s,152,184
s, ,296,151
 ,m,144,119
m,e,127,216
e,n,115,151
n, ,180,156
 ,a,114,137
a,n,88,104
n,d,120,160
d, ,232,136
 ,a,96,183
a,l,128,71
l,l,120,151
l, ,182,158
 ,t,136,112
t,h,58,97
h,e,154,174
e, ,142,189
 ,k,175,88
k,i,160,87
i,n,169,121
n,g,184,104
g,s,185,159
s, ,368,127
 ,h,158,86
h,o,128,103
o,r,159,119
r,s,202,160
s,e,144,112
e,s,199,168
c,o,55,127
o,u,272,112
u,l,194,137
l,d,567,206
n,t,512,135
t, ,488,159
 ,p,152,127
p,u,134,111
u,t,128,113
t, ,266,106
 ,h,216,79
h,u,169,119
u,m,222,46
m,p,425,128
p,t,143,176
t,y,153,104
y, ,496,129
 ,d,200,216
d,u,215,88
u,m,193,80
m,p,136,86
p,t,152,167
t,y,103,127
y, ,265,121
 ,t,79,127
t,o,161,120
o,g,208,136
g,e,174,191
e,h,289,105
h,t,175,128
t,e,313,153
t,h,118,95
h,e,81,169
e,r,130,104
r, ,207,78
 ,a,190,215
a,g,81,137
g,a,217,185
a,i,185,79
i,n,56,110
n, ,735,126
t,h,199,126
h,r,591,128
r,e,480,153
e,e,129,153
e, ,664,184
 ,b,215,152
b,l,155,123
l,i,189,77
i,n,184,127
n,d,105,185
d, ,152,168
 ,m,360,136
m,c,423,200
i,c,208,103
c,e,808,119
e, ,616,216
 ,t,232,104
t,r,641,160
h,e,161,128
e,r,113,56
r,r,70,158
r,e,497,161
r,e,135,73
e,e,209,120
e, ,416,160
 ,b,120,143
b,l,136,104
l,i,168,81
i,n,183,112
n,d,289,145
d, ,160,200
 ,m,335,135
m,c,424,120
i,c,216,120
c,e,134,159
s,e,112,55
e,e,166,142
e, ,491,146
 ,h,503,109
h,o,247,110
o,w,265,168
w, ,360,151
 ,t,134,158
t,h,769,127
h,e,168,184
e,y,241,119
y, ,183,127
 ,r,136,168
r,u,351,105
u,n,480,112
n, ,367,64
s,e,136,96
e,e,137,153
e, ,127,159
 ,h,287,95
h,w,393,145
o,w,135,190
w, ,160,120
 ,t,137,111
t,h,71,96
h,e,176,191
e,y,184,104
y,r,288,127
r, ,319,126
 ,r,1065,112
r,u,197,47
u,n,169,72
