h,e,334,86
e,l,142,47
l,l,194,44
l,o,917,62
m,u,246,103
u, ,670,87
y, ,355,76
 ,d,110,152
d,a,296,143
a,y,454,102
y, ,936,108
 ,w,154,126
w,a,352,115
a,s,244,62
s, ,534,136
 ,v,248,102
v,e,209,83
e,r,161,88
r,y,241,76
y, ,489,86
 ,t,813,83
t,i,275,66
i,r,134,94
r,i,312,86
i,n,182,84
n,g,360,66
g,n,174,106
n, ,321,117
i,s,112,50
s, ,394,86
 ,w,148,195
w,a,326,126
a,s,204,81
s, ,2046,100
 ,s,377,50
s,t,178,78
t,u,174,79
u,d,559,88
d,y,242,37
y,i,224,69
i,n,140,88
n,g,127,71
g, ,163,73
 ,t,140,66
t,h,161,74
h,e,166,96
e, ,220,69
 ,w,200,102
w,h,295,148
h,o,428,42
o,l,754,61
l,e,262,114
e, ,154,117
 ,d,120,155
d,a,211,135
a,y,447,65
y, ,179,133
 ,a,204,90
a,n,163,94
n,d,196,103
d, ,590,104
i, ,211,133
 ,f,344,95
f,e,127,50
e,e,132,69
e,l,237,108
l, ,350,111
 ,t,399,105
t,i,149,68
i,r,115,139
r,e,320,98
i, ,151,86
 ,d,287,87
d,o,145,168
o,n,146,95
n,t,131,61
t, ,564,71
 ,k,222,77
k,o,450,162
n,o,133,92
o,w,123,115
w, ,178,76
 ,w,136,122
w,h,130,63
h,a,116,72
a,t,142,51
t, ,213,104
 ,t,104,71
t,o,139,83
o, ,271,95
 ,s,78,116
s,a,123,133
a,y,382,54
y,n,227,112
n, ,188,94
i, ,456,94
 ,t,137,77
t,o,173,38
o,l,139,59
l,d,135,84
d, ,826,56
 ,y,110,81
y,o,121,162
o,u,324,95
u, ,381,59
 ,t,91,77
t,h,140,78
h,a,112,122
a,t,161,94
t, ,477,93
 ,m,338,86
m,y,138,34
y, ,437,98
 ,d,86,132
d,a,195,114
a,y,165,51
y, ,271,67
 ,w,92,142
w,a,499,132
a,s,180,85
s, ,964,90
 ,f,206,63
f,u,384,45
u,k,1450,43
c,k,174,52
k,i,187,37
i,n,91,44
n,g,187,71
g, ,247,42
 ,b,132,42
b,a,233,87
a,d,199,69
d, ,133,70
 ,a,147,99
a,n,115,73
n,d,121,78
d, ,267,55
i, ,142,125
 ,a,175,104
a,m,116,65
m, ,393,115
 ,s,167,60
s,o,171,89
o, ,313,121
 ,t,213,80
t,i,146,35
i,r,85,118
r,e,226,84
e,d,161,97
d, ,194,94
 ,a,203,82
a,n,129,65
n,d,117,82
d, ,240,90
i, ,233,119
 ,n,193,76
n,e,167,60
e,e,130,107
e,d,113,127
d, ,503,100
 ,o,352,50
t,o,202,65
o, ,603,87
 ,g,136,62
g,e,115,166
e,t,183,103
t, ,527,74
 ,s,152,99
s,o,240,62
o,m,145,78
m,e,111,75
e, ,482,114
 ,r,60,102
r,e,188,99
e,s,260,56
s,t,134,102
t, ,750,109
 ,n,334,107
n, ,460,102
i, ,1041,136
 ,n,174,59
n,e,86,148
e,a,230,100
a,d,150,90
d, ,391,51
e,d,285,92
d, ,459,79
 ,t,195,104
t,o,149,112
o, ,275,117
 ,l,455,91
l,e,50,104
e,a,591,132
a,v,96,69
v,e,164,74
e, ,100,50
 ,t,128,92
t,h,111,68
h,e,111,100
e, ,281,64
 ,p,194,103
p,l,115,79
l,a,269,106
a,t,262,81
t,f,109,59
f,o,104,64
o,r,147,77
r,m,223,89
m, ,390,101
i, ,473,111
 ,a,153,103
a,m,154,106
m, ,249,130
 ,s,221,88
s,o,339,51
o,r,130,46
r,r,91,70
r,y,184,68
