 ,l,224,112
l,i,219,124
i,k,174,170
k,e,289,130
e, ,2705,215
 ,a,389,166
a,n,443,76
n,i,1106,71
i,m,220,147
m,a,340,144
a,l,636,152
l,s,487,109
s, ,625,117
 ,e,240,89
e,s,250,115
s,p,206,168
p,e,351,94
e,c,152,62
c,c,156,65
c,i,321,105
i,l,778,85
a,l,137,68
l,l,269,85
l,y,1281,83
y, ,3733,171
 , ,885,213
 ,c,277,109
c,u,285,94
u,t,216,118
t,s,658,120
s, ,1821,116
 ,n,656,162
n, ,1432,156
n, ,4766,240
 ,a,167,128
a,n,467,125
n,d,228,101
d, ,1829,119
 ,d,114,89
d,o,850,108
o,g,792,96
g,s,840,121
s,n,9393,163
